bobcat_id,county,township,collectiondate,month,coordinates_n,coordinates_w
5/18/01,Athens,Dover,12/30/18,12,39.38911,-82.14085
5/18/02,Athens,Canaan,12/14/18,12,39.30614,-81.957962
58-18-03,Morgan,Hower,12/7/18,12,39.494746,-81.988452
64-19-04,Perry,Reading,2/10/19,2,39.822288,-82.286951
34-15-05,Harrison,Monroe,1/11/15,1,40.420816,-81.216981
71-19-06,Ross,Jefferson,3/7/19,3,39.23797,-82.7881
16-19-07,Coshocton,Jefferson,2/28/19,2,40.3524,-82.018
40-19-08,Jackson,Madison,2/27/19,2,38.903,-82.4497
61-19-09,Noble,Elk,2/20/19,2,39.65858,-81.28657
27-19-10,Gallia,Gallipolis,3/1/19,3,38.8425,-82.1815
58-19-11,Morgan,Windsor,2/23/19,2,39.5876,-81.7075
56-19-12,Monroe,Summit,2/23/19,2,39.7724,-81.2487
40-19-13,Jackson,Franklin,3/5/19,3,39.0014,-82.5599
37-19-14,Hocking,Washington,3/21/19,3,39.4347,-82.4527
40-19-15,Jackson,Scioto,3/26/19,3,38.9668,-82.7268
61-19-16,Noble,Noble,2/27/19,2,39.75871,-81.5405
5/19/17,Athens,Carthage,3/31/19,3,39.214711,-81.846489
64-19-18,Perry,Pleasant,2/19/19,2,39.67739,-82.12275
84-19-19,Washington,Waterford,2/14/19,2,39.577108,-81.665432
5/18/20,Athens,Dover,12/8/18,12,39.488333,-82.305278
58-19-21,Morgan,Meigsville,3/8/19,3,39.60709,-81.72208
30-18-22,Guernsey,Monroe,12/24/18,12,40.16471,-81.51449
56-19-23,Monroe,Adams,2/21/19,2,39.7513,-81.0077
84-19-24,Washington,Marietta,2/27/19,2,39.442839,-81.432602
37-19-25,Hocking,Good Hope,3/28/19,3,39.58895,-82.53991
71-19-26,Ross,Paxton,2/15/19,2,39.20514,-83.24667
61-19-27,Noble,Jefferson,3/24/19,3,39.605725,-81.378674
82-18-28,Vinton,Vinton,2/6/18,2,39.242978,-82.437606
5/19/29,Athens,Troy,4/17/19,4,39.230874,-81.790612
30-19-30,Guernsey,Wills,3/22/19,3,40.02806,-81.46415
30-19-31,Guernsey,Liberty,3/24/19,3,40.10589,-81.56248
5/19/32,Athens,York,9/23/19,9,39.40209,-82.167102
5/19/33,Athens,Waterloo,9/27/19,9,39.34492,-82.24308
56-19-34,Monroe,Seneca,9/13/19,9,39.8581,-81.2362
37-19-35,Hocking,Green,9/5/19,9,39.492006,-82.3295016
82-19-36,Vinton,Madison,10/18/19,10,39.272537,-82.386362
79-19-37,Tuscarawas,Washington,10/3/19,10,40.2416,-81.50233
56-19-38,Monroe,Franklin,10/11/19,10,39.7724,-81.2884
84-19-39,Washington,Marietta,10/21/19,10,39.441529,-81.433019
60-19-40,Muskingum,Perry,10/9/19,10,39.96782,-81.86916
64-19-41,Perry,Harrison,10/21/19,10,39.77886,-82.12385
16-19-42,Coshocton,Adams,9/30/19,9,40.17902,-81.4009
30-19-43,Guernsey,Liberty,10/25/19,10,40.420066,-81.544054
61-19-44,Noble,Beaver,10/15/19,10,39.94801,-81.2807
40-19-45,Jackson,Franklin,10/19/19,10,38.999,-82.618
40-19-46,Jackson,Lick,10/26/19,10,39.079,-82.634
37-19-47,Hocking,Green,11/15/19,11,39.5154,-82.3667
84-19-48,Washington,Waterford,11/14/19,11,39.5147,-81.5738
