damage,year,month,targetspp,point_x,point_y,bear_abund,landcover_2,altitude,human_population,dist_to_forest,dist_to_town,livestock_killed,shannondivindex,prop_arable,prop_orchards,prop_pasture,prop_ag_mo,prop_seminatural,prop_deciduous,prop_coniferous,prop_mixedforest,prop_grassland,prop_for_regen,openhab_10k,forest_10k,urban_10k,heteroag_10k,ag_10k,shdi_10k,s.bear_abund,s.altitude,s.dist_to_town,s.dist_to_forest
1,2008,8,bovine,533138,515800,38,Ag_land,558,10,649.250401,613.099205,2,1.081821,55.333,0,20.659,0,0,21.229,0,0,0,0,0.684823011,-1.138419321,0.146680761,0.684823011,1.20915282,0.365738653,-0.079234702,-0.95251679,-0.828016809,0.226952776
1,2008,9,bovine,533138,515498,38,Open,608,0,361.758099,842.893175,1,0.934881,9.11,0,44.482,0,0,46.407,0,0,0,0,0.801771622,-0.985097683,0.024078797,0.801771622,0.968032347,0.453936899,-0.079234702,-0.81327149,-0.781099841,0.033073825
1,2008,8,bovine,554377,511973,56,Art_surfaces,553,39,751.339989,0,2,1.411283,48.627,0,0,0,19.547,15.43,5.449,0,0,2.033,-1.055646757,-1.108356269,0.829748901,-1.055646757,1.792508783,0.295222849,0.681362978,-0.979764572,-1.086341317,-0.229731225
1,2008,6,bovine,556053,504669,25,Open,709,0,92.947879,1421.560292,9,1.555093,7.695,0,35.675,0,0,30.886,0,8.659,10.595,6.489,1.283324461,-0.209470703,-0.536387379,1.283324461,-0.082008421,0.985421954,-0.250290713,-0.410310339,-0.518603715,-0.343196264
1,2008,7,bovine,556019,504694,25,Open,707,0,63.48214,1389.530253,9,1.555093,7.695,0,35.675,0,0,30.886,0,8.659,10.595,6.489,1.180134638,-0.161369854,-0.536387379,1.180134638,-0.085897442,0.934772052,-0.250290713,-0.443446848,-0.518603715,-0.343196264
1,2008,9,bovine,564395,505393,41,Ag_land,613,647,894.303628,0,3,1.85693,28.766,0,8.934,18.972,2.452,8.026,0,0,0,3.948,-0.12693758,-1.240633732,3.66710875,-0.12693758,0.528570863,1.951045556,1.21840613,-0.840980395,-1.086341317,-0.024471041
1,2008,9,bovine,586915,473363,69,Hetero_ag,644,245,77.787278,0,2,1.468039,0,0,20.312,0,4.07,16.115,0.542,39.146,0,19.763,-0.175092844,0.217424867,1.127496537,-0.175092844,-0.486468581,1.419954939,2.09726217,-0.639974364,-0.974132325,-0.343196264
1,2008,8,bovine,629573,479238,25,Hetero_ag,636,0,308.959163,924.056103,1,1.180317,0,0,18.495,0,34.328,42.756,0,4.42,0,0,-0.133816875,-0.20646441,0.81223429,-0.133816875,-0.622584975,1.559974515,0.010261545,-0.735506351,-0.749714332,-0.104019317
1,2009,6,bovine,514792,546860,43,Ag_land,807,98,589.569354,436.475433,1,1.448577,23.779,0,8.644,0,23.774,36.813,0,0,0,0,0.560995104,-0.952028339,0.006564186,0.560995104,0.454679112,1.132461718,0.412173988,-0.106969576,-0.94003868,0.123376656
1,2009,6,bovine,518797,553526,34,Hetero_ag,943,45,487.262404,315.020966,1,1.06794,0,0,41.828,22.507,0,35.665,0,0,0,0,1.111341291,-0.864845432,-0.536387379,1.111341291,-0.622584975,1.129484521,-0.165069145,0.399972275,-0.027763735,-0.067810827
1,2009,9,bovine,534497,517609,38,Ag_land,659,0,123.046836,1285.110768,2,1.081821,55.333,0,20.659,0,0,21.229,0,0,0,0,0.196390778,-0.693485998,0.111651601,0.196390778,1.014700833,0.24515758,-0.079234702,-0.575207678,-0.637505352,-0.251401118
1,2009,6,bovine,539462,532481,38,Forests,806,110,0,494.228084,2,1.202203,9.154,0,0,0,10.187,40.42,0,0,39.929,0,1.063186026,-0.846807592,0.059107894,1.063186026,-0.043118034,1.109233097,-0.079234702,-0.123618906,-0.908923316,-0.434991409
1,2009,6,bovine,539462,532489,38,Forests,806,110,0,494.473501,2,1.202203,9.154,0,0,0,10.187,40.42,0,0,39.929,0,1.063186026,-0.846807592,0.059107894,1.063186026,-0.043118034,1.109233097,-0.079234702,-0.123618906,-0.908923316,-0.434991409
1,2009,5,bovine,539314,531042,38,Forests,785,0,0,1135.140396,2,0.56956,3.643,0,0,0,0.349,13.508,0,0,82.499,0,2.156999104,-1.156457161,0.847263386,2.156999104,-0.233680972,0.924766563,-0.079234702,-0.135684507,-0.657591356,-0.434991409
