bobcat_id,necropsy,necropsydate,dissector,approxage,sex,fecundity_females,rearfoot_cm,tail_cm,ear_cm,body_w/tail_cm,body,weight_kg,condition
5/18/01,1,3/6/19,"SP,_MD",Ad,M,na,17.9,11.5,6.5,89.5,78,13.6,17.43589744
5/18/02,2,3/9/19,SP_MD_CH,Ad,F,na,16,11.5,6.5,82,70.5,6.33,8.978723403999998
58-18-03,3,3/10/19,MD_CH,Ad,M,na,17.1,11.4,6.4,92,80.6,9.98,12.382134000000002
64-19-04,4,3/13/19,MD_CH_HK,Juv,F,0,14.7,11.3,6.5,71.5,60.2,4.619999999999999,7.674418605
34-15-05,5,3/23/19,MD_CH_JG,Ad,M,na,16.5,14,5.7,95.25,81.25,11.53,14.19076923
71-19-06,6,3/24/19,MD_CH,Ad,M,na,16,12.5,6.5,86.3,73.8,9.3,12.60162602
16-19-07,7,3/31/19,MD_HK,Ad,M,na,17,12.5,7,85.5,73,9.92,13.5890411
40-19-08,8,4/7/19,MD_CH_HK,Ad,M,na,18.2,13,6.5,90,77,9.219999999999999,11.97402597
61-19-09,9,4/13/19,MD_CH,Juv,M,na,14.6,10,7,68.8,58.8,4.859999999999999,8.265306122
27-19-10,10,4/14/19,MD_HK,Ad,M,na,16.4,14.5,7.2,97.9,83.4,8.62,10.335731410000001
58-19-11,11,5/3/19,MD_CH_HK,Ad,F,0,15.3,11.4,6,74.9,63.5,4.8,7.559055118
56-19-12,12,5/3/19,MD,na,na,na,NA,NA,NA,NA,NA,NA,NA
40-19-13,13,5/5/19,MD_CH_HK,Ad,M,na,16.7,12.9,6.4,89.3,76.4,7.76,10.157068059999999
37-19-14,14,5/12/19,MD_CH,Ad,F,0,16.5,14.2,6.3,79.9,65.7,6.14,9.345509893000003
40-19-15,15,5/12/19,MD_CH,Ad,M,na,16.6,12.6,6,78,65.4,5.970000000000001,9.128440367
61-19-16,16,5/13/19,MD_CH,Ad,M,na,16.2,12.9,5.6,80,67.1,7.23,10.774962739999998
5/19/17,17,5/13/19,MD_CH,Juv,F,0,11.9,7.7,5.4,57.1,49.4,2.72,5.506072874
64-19-18,18,5/15/19,MD_CH,Ad,M,na,17.4,13.4,6.7,88.3,74.9,13.129999999999999,17.53004005
84-19-19,19,5/17/19,MD,Juv,F,0,12,9.1,4.5,60.3,51.2,2.67,5.21484375
5/18/20,20,5/17/19,MD_CH,Juv,M,na,15.8,11.5,6.5,71.3,59.8,3.86,6.454849498000001
58-19-21,21,5/21/19,MD_CH,Ad,M,na,14.5,13,6.3,76,63,6.67,10.58730159
30-18-22,22,5/21/19,MD_CH,Ad,F,2,15.9,11,6,73.4,62.4,4.17,6.682692308
56-19-23,23,5/23/19,MD_CH,Ad,M,na,16.5,12.6,6.5,76,63.4,5.57,8.785488959000002
84-19-24,24,5/28/19,MD_MB,Ad,M,na,16,14.2,6.5,79.2,65,5.91,9.092307692
37-19-25,25,6/3/19,MD,Ad,M,na,16,12.5,6.4,79,66.5,5.74,8.631578946999998
71-19-26,26,6/7/19,MD,Ad,F,0,13.5,12,6.4,85.3,73.3,8.219999999999999,11.21418827
61-19-27,27,8/30/19,MD_RB_MB_VP,Juv,M,na,15,10.5,6.9,79.9,69.4,5.9,8.501440922
82-18-28,28,9/22/19,MD_TW_JS,Ad,F,na,13.6,10.8,6,79.2,68.4,7.46,10.906432750000002
5/19/29,29,9/23/19,MB,Juv,M,na,15,10.5,6.2,67.5,57,3.4099999999999997,5.98245614
30-19-30,30,9/23/19,MB,Juv,M,na,13.5,10,5.2,60.3,50.3,3.7,7.355864810999999
30-19-31,31,9/24/19,MB,Ad,M,na,16.5,15.5,7.8,80.5,65,6.83,10.507692310000001
5/19/32,32,10/1/19,MB,Ad,M,na,15.6,15.7,6.6,80,64.3,7.38,11.47744946
5/19/33,33,10/21/19,"MD, MB",Ad,F,0,14.5,13,6.9,79.5,66.5,6.48,9.744360901999997
56-19-34,34,10/21/19,"MP, ML, RB",Ad,F,na,16.5,11.4,7.6,76.7,65.3,7.78,11.914241959999998
37-19-35,35,10/21/19,"MK, EW",Ad,F,4,16.2,12.9,6.3,86.4,73.5,6.75,9.183673468999999
82-19-36,36,10/24/19,"RB, CH, JS",Ad,M,na,16.7,13.2,5.8,85,71.8,8.129999999999999,11.323119779999999
79-19-37,37,10/24/19,"RB, CH, JS",Juv,F,0,14,10.3,4.6,68.2,57.9,2.29,3.9550949909999997
