damage,year,month,targetspp,point_x,point_y,bear_abund,landcover_2,altitude,human_population,dist_to_forest,dist_to_town,livestock_killed,shannondivindex,prop_arable,prop_orchards,prop_pasture,prop_ag_mo,prop_seminatural,prop_deciduous,prop_coniferous,prop_mixedforest,prop_grassland,prop_for_regen,openhab_10k,forest_10k,urban_10k,heteroag_10k,ag_10k,shdi_10k,s.bear_abund,s.altitude,s.dist_to_town,s.dist_to_forest
1,2008,6,alte,555145,508334,25,Ag_land,639,0,13.858476,1561.418237,3,1.36254,28.87,0,1.826,0,19.985,38.43,0,0,10.889,0,-0.195730828,-0.940003127,-0.273668871,-0.195730828,0.886362552,0.895594895,-0.250290713,-0.619913811,-0.52529635,-0.343196264
1,2008,3,alte,567786,521943,30,Hetero_ag,669,177,1350.40178,41.117347,2,1.090551,55.934,0,5.406,0,26.538,0,0,0,0,0,0.093200856,-1.571327421,1.127496537,0.093200856,1.368603611,0.398524562,-0.414285797,-0.545492134,-1.086341317,0.843567057
1,2008,4,alte,569696,523579,54,Ag_land,642,419,3347.66242,21.044493,1,1.007118,57.197,0,24.746,0,0.805,0,0,0,0,0,-0.11317889,-1.619428323,1.022409121,-0.11317889,1.78473074,-0.077453328,2.1199626,-0.647680086,-1.050857716,2.723615457
1,2008,7,alte,575739,499473,48,Open,704,0,170.945428,1407.143219,2,0.389321,0,0,13.155,0,0,86.845,0,0,0,0,-0.347076064,0.69843387,-0.431299979,-0.347076064,-0.622584975,-0.735853024,1.462100649,-0.436575043,-0.558839657,-0.251401118
1,2008,9,alte,578347,474078,26,Art_surfaces,585,492,127.985653,0,7,0.872168,4.154,0,0,5.449,6.056,76.666,0.247,0,0,0,-0.319558735,0.262519423,0.602059458,-0.319558735,-0.544804175,0.659804671,-0.028151291,-0.850687777,-1.086341317,-0.30517347
1,2008,6,alte,577340,467545,35,Hetero_ag,762,86,103.339617,0,6,1.396398,0,0,10.038,34.421,19.208,33.419,0.436,0,0,0,-0.202610222,0.214418575,-0.326212579,-0.202610222,-0.622584975,0.143691625,0.164795543,-0.195393352,-0.671016433,-0.30517347
1,2008,6,alte,578536,465944,35,Hetero_ag,716,93,451.672364,221.352053,6,1.396398,0,0,10.038,34.421,19.208,33.419,0.436,0,0,0,0.120718234,-0.997122938,1.390214951,0.120718234,-0.622584975,1.374251182,0.164795543,-0.381131255,-0.908923316,0.023984319
1,2008,6,alte,578325,466476,35,Hetero_ag,715,93,461.248338,42.833963,6,1.396398,0,0,10.038,34.421,19.208,33.419,0.436,0,0,0,0.024407607,-0.795700452,0.707146874,0.024407607,-0.622584975,1.294872949,0.164795543,-0.371519561,-0.958403381,0.123376656
1,2008,6,alte,578389,465448,35,Art_surfaces,740,95,140.311879,0,1,1.67135,0,0,23.063,27.348,0,15.082,21.665,1.798,0,0,0.354615358,-0.87987698,1.670448102,0.354615358,-0.622584975,1.508666225,0.164795543,-0.296893084,-1.050857716,-0.343196264
1,2008,8,alte,580789,476283,26,Art_surfaces,600,151,25.804866,0,1,1.504145,25.503,0,32.114,22.103,0,7.514,0,0,0,0,1.998774524,-1.162469788,0.199224469,1.998774524,0.264116147,0.603198754,-0.028151291,-0.883830998,-1.086341317,-0.343196264
1,2008,7,alte,582870,470391,35,Art_surfaces,751,53,122.471537,253.579095,3,1.207223,0,0,18.946,23.452,4.407,51.397,0,0,0,0,0.918720234,-0.741586932,0.514486653,0.918720234,-0.622584975,0.986940001,0.164795543,-0.259500611,-1.086341317,-0.343196264
1,2008,8,alte,584672,468025,35,Hetero_ag,763,248,644.473586,147.336206,4,0.739788,3.854,0,0.917,81.221,8.31,1.455,0,0,0,0,-0.271403471,-1.33984185,0.864777998,-0.271403471,-0.152011149,0.919160409,0.164795543,-0.218356594,-0.879438142,0.226952776
1,2008,7,alte,586732,473870,26,Art_surfaces,622,245,237.473027,0,7,1.49403,30.105,0,13.208,0.291,2.683,11.739,0,0,0,4.147,-0.305800046,-0.197445447,2.878953132,-0.305800046,-0.334796016,1.403860244,-0.028151291,-0.736722155,-1.086341317,-0.17535553
1,2008,7,alte,585402,470034,35,Open,891,0,95.606447,862.107824,1,0.47103,0,0,11.554,0,0,85.966,0,2.48,0,0,0.464684576,0.009989667,-0.221125163,0.464684576,-0.622584975,0.459497666,0.164795543,0.266725679,-0.736868377,-0.343196264
1,2008,7,alte,585940,468937,51,Art_surfaces,756,266,263.459604,0,1,1.43723,0,0,49.276,18.091,0,11.992,0,9.451,0,2.298,1.070065322,-0.42592478,0.35685553,1.070065322,-0.618695935,1.304548029,0.938574409,-0.290528081,-1.086341317,-0.144709683
1,2008,7,alte,585898,466094,51,Hetero_ag,776,224,32.355191,64.064745,2,1.618666,0,0,31.926,27.237,0,16.044,0,5.21,0,11.398,0.987513384,-0.522126563,0.619574069,0.987513384,-0.579805536,1.205364952,0.938574409,-0.182242057,-0.736868377,-0.343196264
1,2008,9,alte,607401,508590,60,Hetero_ag,653,127,72.748881,32.693149,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.486394035,2.33379364,-0.654985519,0.97812122,-0.30517347
1,2008,9,alte,607528,508761,60,Hetero_ag,660,127,25.552632,7.930223,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.553474445,2.33379364,-0.604982108,1.025156568,-0.343196264
1,2008,9,alte,607528,508762,60,Hetero_ag,660,127,25.76194,7.44871,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.553474445,2.33379364,-0.604982108,1.025156568,-0.343196264
1,2008,9,alte,607466,508912,60,Forests,631,127,0,0,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.518493325,2.33379364,-0.655593421,1.024261855,-0.434991409
1,2008,9,alte,607466,508913,60,Forests,631,127,0,0,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.518493325,2.33379364,-0.655593421,1.024261855,-0.434991409
1,2008,10,alte,607551,509070,60,Forests,630,127,0,27.389657,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.128335559,-0.536387379,-1.145078015,-0.622584975,-0.542020206,2.33379364,-0.693860944,1.072041874,-0.434991409
1,2008,10,alte,607283,508654,60,Hetero_ag,638,127,24.237437,93.244035,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.381849842,2.33379364,-0.630964294,0.913687646,-0.434991409
1,2008,10,alte,607544,508781,60,Hetero_ag,660,127,14.093215,12.322966,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.576880428,2.33379364,-0.642297511,1.040307788,-0.343196264
1,2008,10,alte,607426,508816,60,Hetero_ag,630,127,10.330168,77.213935,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.528927834,2.33379364,-0.666853249,1.008393513,-0.434991409
1,2008,10,alte,607574,508864,60,Hetero_ag,656,127,33.157194,33.737305,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.576880428,2.33379364,-0.642297511,1.040307788,-0.343196264
1,2008,10,alte,607574,508865,60,Hetero_ag,656,127,33.748894,34.522267,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.576880428,2.33379364,-0.642297511,1.040307788,-0.343196264
1,2008,10,alte,607467,508648,60,Hetero_ag,654,127,49.010837,24.192687,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.486394035,2.33379364,-0.654985519,0.97812122,-0.30517347
1,2008,11,alte,607419,508639,60,Hetero_ag,654,127,85.628384,0.12684,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.486394035,2.33379364,-0.654985519,0.97812122,-0.30517347
1,2008,11,alte,607419,508640,60,Hetero_ag,654,127,86.194136,0,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.125329267,-0.536387379,-1.145078015,-0.622584975,-0.486394035,2.33379364,-0.654985519,0.97812122,-0.30517347
1,2008,11,alte,607733,509101,60,Hetero_ag,636,127,43.039709,67.295667,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.131341851,-0.536387379,-1.145078015,-0.622584975,-0.605576069,2.33379364,-0.678839831,1.151377348,-0.343196264
1,2008,11,alte,607733,509102,60,Hetero_ag,636,127,43.611533,67.12788,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.131341851,-0.536387379,-1.145078015,-0.622584975,-0.605576069,2.33379364,-0.678839831,1.151377348,-0.343196264
1,2008,11,alte,607908,509186,60,Forests,641,0,0,252.124088,17,0.826122,0,0,0,0,11.188,1.278,0,72.029,0,15.505,-1.145078015,1.137354436,-0.536387379,-1.145078015,-0.622584975,-0.691184937,2.33379364,-0.654710577,1.230713341,-0.343196264
1,2009,6,alte,560294,491013,25,Art_surfaces,593,777,876.141025,0,3,1.220471,58.972,0,0.288,0,0,7.218,0,0.447,0,0,-0.890542906,-1.222595892,4.490293591,-0.890542906,1.341380234,0.89369808,0.719892407,-0.816145603,-1.086341317,0.34391623
1,2009,7,alte,560294,491018,25,Art_surfaces,593,777,872.795441,0,3,1.220471,58.972,0,0.288,0,0,7.218,0,0.447,0,0,-0.890542906,-1.222595892,4.490293591,-0.890542906,1.341380234,0.89369808,0.719892407,-0.816145603,-1.086341317,0.34391623
1,2009,3,alte,567786,521948,30,Hetero_ag,669,177,1355.071043,41.846618,2,1.090551,55.934,0,5.406,0,26.538,0,0,0,0,0,0.093200856,-1.571327421,1.127496537,0.093200856,1.368603611,0.398524562,-0.414285797,-0.545492134,-1.086341317,0.843567057
1,2009,9,alte,571866,487569,48,Art_surfaces,589,283,32.249292,0,2,1.14892,59.218,0,21.948,0,0,9.844,0,0,0,0,0.306460094,-0.654404026,0.532001265,0.306460094,0.400232583,1.273952331,1.462100649,-0.800836125,-1.036159928,-0.434991409
1,2009,9,alte,571866,487566,48,Art_surfaces,589,283,30.78319,0,2,1.14892,59.218,0,21.948,0,0,9.844,0,0,0,0,0.306460094,-0.654404026,0.532001265,0.306460094,0.400232583,1.273952331,1.462100649,-0.800836125,-1.036159928,-0.434991409
1,2009,9,alte,573824,487119,48,Open,557,103,162.147466,0,6,1.42855,28.177,0,39.199,0.056,0,16.768,0,0,0,0,0.48532256,-1.090318429,0.882292609,0.48532256,0.835805044,1.008663543,1.462100649,-0.925952464,-1.050857716,-0.251401118
1,2009,9,alte,574157,487076,48,Art_surfaces,555,103,274.103411,0,6,1.42855,28.177,0,39.199,0.056,0,16.768,0,0,0,0,0.354615358,-1.117375189,0.917321705,0.354615358,1.014700833,0.856995616,1.462100649,-0.909948706,-1.050857716,-0.104019317
1,2009,9,alte,574157,487075,48,Art_surfaces,555,103,273.193587,0,6,1.42855,28.177,0,39.199,0.056,0,16.768,0,0,0,0,0.354615358,-1.117375189,0.917321705,0.354615358,1.014700833,0.856995616,1.462100649,-0.909948706,-1.050857716,-0.104019317
1,2009,9,alte,574429,486983,48,Art_surfaces,552,103,318.966048,0,6,1.42855,28.177,0,39.199,0.056,0,16.768,0,0,0,0,0.320218685,-1.129400401,1.109981926,0.320218685,1.135261069,0.669701825,1.462100649,-0.910762056,-1.086341317,-0.056510315
1,2009,9,alte,574429,486985,48,Art_surfaces,552,103,320.609159,0,6,1.42855,28.177,0,39.199,0.056,0,16.768,0,0,0,0,0.320218685,-1.129400401,1.109981926,0.320218685,1.135261069,0.669701825,1.462100649,-0.910762056,-1.086341317,-0.056510315
1,2009,6,alte,578851,506672,53,Hetero_ag,629,82,135.901149,269.40156,4,0.424159,0,0,3.209,0,8.259,88.532,0,0,0,0,-0.230127502,0.328658198,-0.028464942,-0.230127502,-0.494246653,0.019806998,0.56583257,-0.688836876,-0.974132325,-0.251401118
1,2009,9,alte,578823,474038,26,Art_surfaces,621,492,37.87375,0,7,0.872168,4.154,0,0,5.449,6.056,76.666,0.247,0,0,0,0.32709798,0.012995959,0.584544972,0.32709798,-0.564249375,0.849238694,-0.028151291,-0.767182856,-1.086341317,-0.343196264
1,2009,10,alte,578500,474126,26,Art_surfaces,586,492,189.984397,50.053305,7,0.872168,4.154,0,0,5.449,6.056,76.666,0.247,0,0,0,-0.223248108,0.220431159,0.602059458,-0.223248108,-0.544804175,0.708984076,-0.028151291,-0.854038599,-1.050857716,-0.229731225
1,2009,10,alte,578337,474079,26,Art_surfaces,585,492,121.882484,0,7,0.872168,4.154,0,0,5.449,6.056,76.666,0.247,0,0,0,-0.319558735,0.262519423,0.602059458,-0.319558735,-0.544804175,0.659804671,-0.028151291,-0.850687777,-1.086341317,-0.30517347
1,2009,6,alte,578446,462604,35,Art_surfaces,716,271,381.301686,1.548713,3,1.424179,0,0,36.709,25.751,5.149,8.759,0,0,0,0,0.375253343,-1.390949056,3.141671672,0.375253343,-0.622584975,1.145631897,0.164795543,-0.382836975,-1.086341317,-0.104019317
1,2009,7,alte,580050,506497,53,Art_surfaces,617,799,85.272965,0,4,1.70955,10.661,0,14.455,11.509,15.583,32.451,0,0,0,0,-0.071902922,-0.654404026,1.617904394,-0.071902922,0.170779175,1.348607033,0.56583257,-0.728416758,-1.086341317,-0.30517347
1,2009,7,alte,579414,501876,53,Hetero_ag,649,51,795.595153,0,7,1.616346,36.638,0,4,26.385,2.79,7.542,0,0,0,0,-0.470903922,-0.99111031,1.00489451,-0.470903922,0.894140596,1.548434229,0.56583257,-0.621658066,-1.050857716,0.386049328
1,2009,7,alte,579331,502024,53,Art_surfaces,651,51,762.604536,0,7,1.616346,36.638,0,4,26.385,2.79,7.542,0,0,0,0,-0.395231328,-0.909940032,0.829748901,-0.395231328,0.835805044,1.522900307,0.56583257,-0.615085449,-1.086341317,0.281951593
1,2009,8,alte,579136,502322,53,Ag_land,677,280,406.479511,0,7,1.616346,36.638,0,4,26.385,2.79,7.542,0,0,0,0,0.08632156,-0.798706744,0.654603166,0.08632156,0.513014664,1.565382639,0.56583257,-0.497718563,-1.050857716,-0.04553759
1,2009,9,alte,578910,474153,26,Art_surfaces,602,492,77.242932,0,2,1.441585,0.246,0,24.652,15.382,0,41.998,8.445,0,0,0,0.416529311,-0.056149108,0.602059458,0.416529311,-0.544804175,0.933417995,-0.028151291,-0.771801873,-1.086341317,-0.251401118
1,2009,10,alte,579173,474568,26,Art_surfaces,579,492,185.638874,0,2,1.441585,0.246,0,24.652,15.382,0,41.998,8.445,0,0,0,0.313339389,-0.185420278,0.672117777,0.313339389,-0.439800095,1.192923943,-0.028151291,-0.861410495,-1.086341317,-0.229731225
1,2009,6,alte,582791,470280,35,Art_surfaces,736,53,153.902447,132.236522,4,1.447025,0,0,42.777,19.023,0,17.287,0,13.247,0,0,1.035668648,-0.798706744,0.54951575,1.035668648,-0.622584975,1.004133449,0.164795543,-0.272408788,-1.086341317,-0.343196264
1,2009,7,alte,581547,467221,35,Art_surfaces,699,178,423.194227,0,1,1.476212,26.04,0,27.856,29.694,0,9.145,0,0,0,0,1.400273073,-1.484144547,0.532001265,1.400273073,0.240781904,1.04265438,0.164795543,-0.444321682,-1.086341317,-0.024471041
1,2009,6,alte,583732,469328,35,Hetero_ag,727,59,902.609843,146.279178,4,0.739788,3.854,0,0.917,81.221,8.31,1.455,0,0,0,0,0.347735964,-1.276709411,0.689632263,0.347735964,-0.560360332,0.621495008,0.164795543,-0.345842842,-0.861923334,0.473734198
1,2009,6,alte,583857,469071,35,Hetero_ag,728,59,855.038971,23.37395,4,0.739788,3.854,0,0.917,81.221,8.31,1.455,0,0,0,0,0.161994203,-1.369904902,0.742175971,0.161994203,-0.529248017,0.51576723,0.164795543,-0.369309421,-0.835434363,0.469085948
1,2009,6,alte,586095,473810,26,Forests,626,293,0,18.29209,7,1.49403,30.105,0,13.208,0.291,2.683,11.739,0,0,0,4.147,-0.32643808,-0.22450225,2.476118206,-0.32643808,-0.13645495,1.114840061,-0.028151291,-0.719804378,-1.050857716,-0.434991409
1,2009,6,alte,586095,474183,26,Art_surfaces,593,293,226.498627,0,7,1.49403,30.105,0,13.208,0.291,2.683,11.739,0,0,0,4.147,-0.319558735,-0.504088723,3.001555284,-0.319558735,0.034662794,1.427068873,-0.028151291,-0.829197962,-1.086341317,-0.17535553
1,2009,7,alte,586768,473964,69,Art_surfaces,629,245,163.31759,0,7,1.49403,30.105,0,13.208,0.291,2.683,11.739,0,0,0,4.147,-0.31267944,-0.287634646,3.211729865,-0.31267944,-0.315350822,1.436775562,-0.028151291,-0.737914578,-1.086341317,-0.229731225
1,2009,9,alte,586797,473928,69,Art_surfaces,629,245,157.141075,0,7,1.49403,30.105,0,13.208,0.291,2.683,11.739,0,0,0,4.147,-0.31267944,-0.287634646,3.211729865,-0.31267944,-0.315350822,1.436775562,-0.028151291,-0.737914578,-1.086341317,-0.229731225
1,2009,9,alte,587337,474802,69,Art_surfaces,597,408,167.677655,0,4,1.764669,0,0,14.715,16.293,10.303,13.317,0.341,0,0,18.748,0.691702306,-0.816744584,3.947342026,0.691702306,-0.529248017,1.569532074,2.09726217,-0.825318689,-1.086341317,-0.17535553
1,2009,7,alte,587772,474864,69,Hetero_ag,595,56,36.01825,0,4,1.764669,0,0,14.715,16.293,10.303,13.317,0.341,0,0,18.748,0.684823011,-0.882883272,3.702137722,0.684823011,-0.618695935,1.638800804,2.09726217,-0.798452361,-1.015374116,-0.434991409
1,2010,9,alte,530118,548379,42,Art_surfaces,564,112,299.343136,111.347918,2,1.289333,0.078,0,5.195,38.154,0,39.76,0,0.55,0.509,0,-0.52593858,-0.287634646,0.602059458,-0.52593858,-0.330906966,1.599553405,1.169146317,-0.9154904,-1.050857716,-0.104019317
1,2010,5,alte,560845,496665,38,Open,889,0,85.480376,1587.047585,6,0.711895,0,0,52.987,0,0,46.665,0,0,0,0.348,1.331479726,0.136254459,-0.518872811,1.331479726,-0.595361695,-0.403097357,0.821585067,0.244256466,-0.52529635,-0.343196264
1,2010,6,alte,560799,488957,25,Art_surfaces,559,95,1549.596602,0,1,1.243309,49.818,0,26.941,0,0,1.661,0,0,0,0,-0.106299595,-1.613415711,2.581205621,-0.106299595,1.827510204,-0.056728579,0.719892407,-0.933970147,-1.086341317,0.990052478
1,2010,9,alte,612612,492133,49,Forests,765,0,0,2680.917546,1,0.445624,0,0,0,0,0,15.203,0.291,84.506,0,0,-1.145078015,1.269631985,-0.536387379,-1.145078015,-0.622584975,-0.471352976,0.240439572,-0.209996641,2.432265142,-0.434991409
1,2011,10,alte,621359,497541,30,Hetero_ag,610,36,102.714496,1456.370508,1,1.462863,0,0,15.17,7.345,2.921,50.934,14.036,1.28,0,0,-0.298920751,0.635301387,-0.203610614,-0.298920751,-0.622584975,0.635274945,0.168340615,-0.7581559,-0.735071586,-0.30517347
1,2012,8,alte,526288,548920,42,Open,902,0,464.239586,2415.335039,1,0.555162,0,0,0,3.742,0,2.621,0,0.749,86.54,6.348,2.955000907,-0.669435573,-0.536387379,2.955000907,-0.622584975,0.426342713,0.690160268,0.295022568,0.203330141,-0.104019317
1,2012,9,alte,539991,518823,38,Open,797,0,171.934913,4253.300364,1,0.786813,0,0,0,0,0,48.505,0,0,49.191,2.304,1.737360119,0.009989667,-0.536387379,1.737360119,-0.622584975,-0.634405035,0.660135952,-0.08539533,0.533515176,-0.251401118
1,2012,4,alte,543106,534108,38,Forests,852,0,0,1839.655974,2,1.275578,0,0,0,0,18.932,34.96,0,36.49,0,9.617,-1.02125012,0.626282511,-0.536387379,-1.02125012,-0.622584975,0.299023503,-0.079234702,0.096189658,0.163668901,-0.434991409
1,2012,4,alte,543106,534108,38,Forests,852,0,0,1839.655974,2,1.275578,0,0,0,0,18.932,34.96,0,36.49,0,9.617,-1.02125012,0.626282511,-0.536387379,-1.02125012,-0.622584975,0.299023503,-0.079234702,0.096189658,0.163668901,-0.434991409
1,2012,8,alte,551040,581115,23,Hetero_ag,927,0,38.864409,2072.495991,1,0.905789,0,0,0,0,5.955,0,54.79,0,0.853,38.402,-0.732318375,0.758559887,-0.536387379,-0.732318375,-0.579805536,0.633809311,-0.14258743,0.501258982,-0.311367795,-0.434991409
1,2012,9,alte,553630,518788,56,Hetero_ag,790,0,59.549497,2430.98785,5,1.141851,0.001,0,7.053,0,21.443,55.131,0,0,16.373,0,0.898082151,-0.020073428,-0.536387379,0.898082151,-0.552582253,0.353534847,0.681362978,-0.140794089,-0.20996102,-0.343196264
