damage,year,month,targetspp,point_x,point_y,bear_abund,landcover_2,altitude,human_population,dist_to_forest,dist_to_town,livestock_killed,shannondivindex,prop_arable,prop_orchards,prop_pasture,prop_ag_mo,prop_seminatural,prop_deciduous,prop_coniferous,prop_mixedforest,prop_grassland,prop_for_regen,openhab_10k,forest_10k,urban_10k,heteroag_10k,ag_10k,shdi_10k,s.bear_abund,s.altitude,s.dist_to_town,s.dist_to_forest
1,2008,9,ovine,541343,522725,40,Forests,570,0,79.190174,5952.718599,6,0.755856,0,0,0,0,9.889,75.937,0,0,1.199,12.975,-0.491541906,0.743528426,-0.536387379,-0.491541906,-0.622584975,-0.535222903,0.508957391,-0.868248744,1.021575636,-0.434991409
1,2008,9,ovine,541343,522730,40,Forests,570,0,82.487184,5949.79146,6,0.755856,0,0,0,0,9.889,75.937,0,0,1.199,12.975,-0.491541906,0.743528426,-0.536387379,-0.491541906,-0.622584975,-0.535222903,0.508957391,-0.868248744,1.021575636,-0.434991409
1,2008,8,ovine,544871,556633,36,Open,1410,0,105.742004,7190.117552,1,0.417628,0,0,0,0,0,0,85.291,0,14.709,0,-0.31267944,0.905868898,-0.536387379,-0.31267944,-0.622584975,-1.560542345,0.70333408,2.042291652,2.793072714,-0.30517347
1,2008,8,ovine,547619,561830,22,Open,1068,0,119.000096,7238.248115,1,0.843393,0,0,0,0,0,0,69.113,11.178,19.216,0.493,-0.12693758,0.824698662,-0.536387379,-0.12693758,-0.622584975,-0.154928532,-0.207785738,0.914896955,1.354816886,-0.251401118
1,2008,9,ovine,547773,516176,40,Art_surfaces,516,609,891.364405,0,2,1.087136,64.257,0,0,0,11.427,7.466,0,0,1.176,0.4,-0.959336179,-1.369904902,1.285127661,-0.959336179,1.90918011,0.009825283,0.508957391,-1.052363626,-1.050857716,0.411318037
1,2008,8,ovine,553687,511901,56,Art_surfaces,533,431,875.889418,0,2,1.411283,48.627,0,0,0,19.547,15.43,5.449,0,0,2.033,-1.145078015,-1.087312137,0.829748901,-1.145078015,1.815843138,0.130978291,0.681362978,-1.002797524,-1.050857716,-0.104019317
1,2008,6,ovine,554448,504572,25,Art_surfaces,635,367,167.122694,0,1,0.777028,74.683,0,1.857,0,0.433,0.702,0,3.207,0,0,0.100080249,-1.159463453,0.934836317,0.100080249,1.469718626,0.768908406,-0.250290713,-0.667711629,-1.086341317,-0.251401118
1,2008,7,ovine,556019,504698,25,Open,707,0,61.262779,1389.875052,9,1.555093,7.695,0,35.675,0,0,30.886,0,8.659,10.595,6.489,1.180134638,-0.161369854,-0.536387379,1.180134638,-0.085897442,0.934772052,-0.250290713,-0.443446848,-0.518603715,-0.343196264
1,2008,4,ovine,558943,496125,38,Open,802,0,125.148699,3399.16467,6,0.711895,0,0,52.987,0,0,46.665,0,0,0,0.348,1.606652917,0.067109564,-0.536387379,1.606652917,-0.622584975,-0.862218288,0.821585067,-0.056595536,0.120101087,-0.229731225
1,2008,7,ovine,565938,501294,41,Art_surfaces,656,250,19.600482,0,4,1.577189,12.816,0,0,0,12.311,48.164,0,4.576,5.938,5.052,-0.340196719,-0.137319344,0.251768114,-0.340196719,0.271894246,1.474218812,1.21840613,-0.50322064,-1.050857716,-0.434991409
1,2008,7,ovine,568447,489923,54,Open,620,0,514.05905,621.324484,3,1.308189,40.572,0,37.101,0,0,9.718,0,0,0,5.631,1.338359218,-0.921965287,0.374370141,1.338359218,0.606351636,0.651692755,3.33152843,-0.748611101,-0.895256282,-0.343196264
1,2008,4,ovine,568744,473292,19,Art_surfaces,588,152,112.870954,0,2,1.178003,56.585,0,25.235,0,0,5.044,0,0,0,6.716,0.106959545,-0.248552674,0.479457494,0.106959545,0.408010626,0.617065414,-0.136547589,-0.798231542,-1.086341317,-0.30517347
