Bobcat_ID#,Necropsy,NecropsyDate,Dissector,County,Township,CollectionDate,Month,Coordinates_N,Coordinates_W,ApproxAge,Age,Sex,Fecundity_Females,RearFoot_cm,Tail_cm,Ear_cm,Body_w/Tail_cm,Body,Weight_kg,Condition,Notes
5/18/01,1,3/6/19,"SP,_MD",Athens,Dover,12/30/18,12,39.38911,-82.14085,Ad,3,M,na,17.9,11.5,6.5,89.5,78,13.6,17.43589744,na
5/18/02,2,3/9/19,SP_MD_CH,Athens,Canaan,12/14/18,12,39.30614,-81.957962,Ad,1,F,na,16,11.5,6.5,82,70.5,6.33,8.978723404,na
58-18-03,3,3/10/19,MD_CH,Morgan,Hower,12/7/18,12,39.494746,-81.988452,Ad,2,M,na,17.1,11.4,6.4,92,80.6,9.98,12.382134,na
64-19-04,4,3/13/19,MD_CH_HK,Perry,Reading,2/10/19,2,39.822288,-82.286951,Juv,0,F,0,14.7,11.3,6.5,71.5,60.2,4.62,7.674418605,na
34-15-05,5,3/23/19,MD_CH_JG,Harrison,Monroe,1/11/15,1,40.420816,-81.216981,Ad,1,M,na,16.5,14,5.7,95.25,81.25,11.53,14.19076923,na
71-19-06,6,3/24/19,MD_CH,Ross,Jefferson,3/7/19,3,39.23797,-82.7881,Ad,X,M,na,16,12.5,6.5,86.3,73.8,9.3,12.60162602,na
16-19-07,7,3/31/19,MD_HK,Coshocton,Jefferson,2/28/19,2,40.3524,-82.018,Ad,X,M,na,17,12.5,7,85.5,73,9.92,13.5890411,na
40-19-08,8,4/7/19,MD_CH_HK,Jackson,Madison,2/27/19,2,38.903,-82.4497,Ad,1,M,na,18.2,13,6.5,90,77,9.22,11.97402597,na
61-19-09,9,4/13/19,MD_CH,Noble,Elk,2/20/19,2,39.65858,-81.28657,Juv,0,M,na,14.6,10,7,68.8,58.8,4.86,8.265306122,na
27-19-10,10,4/14/19,MD_HK,Gallia,Gallipolis,3/1/19,3,38.8425,-82.1815,Ad,3,M,na,16.4,14.5,7.2,97.9,83.4,8.62,10.33573141,na
58-19-11,11,5/3/19,MD_CH_HK,Morgan,Windsor,2/23/19,2,39.5876,-81.7075,Ad,0,F,0,15.3,11.4,6,74.9,63.5,4.8,7.559055118,na
56-19-12,12,5/3/19,MD,Monroe,Summit,2/23/19,2,39.7724,-81.2487,na,na,na,na,na,na,na,na,na,na,na,na
40-19-13,13,5/5/19,MD_CH_HK,Jackson,Franklin,3/5/19,3,39.0014,-82.5599,Ad,1,M,na,16.7,12.9,6.4,89.3,76.4,7.76,10.15706806,na
37-19-14,14,5/12/19,MD_CH,Hocking,Washington,3/21/19,3,39.4347,-82.4527,Ad,0,F,0,16.5,14.2,6.3,79.9,65.7,6.14,9.345509893,na
40-19-15,15,5/12/19,MD_CH,Jackson,Scioto,3/26/19,3,38.9668,-82.7268,Ad,0,M,na,16.6,12.6,6,78,65.4,5.97,9.128440367,na
61-19-16,16,5/13/19,MD_CH,Noble,Noble,2/27/19,2,39.75871,-81.5405,Ad,1,M,na,16.2,12.9,5.6,80,67.1,7.23,10.77496274,na
5/19/17,17,5/13/19,MD_CH,Athens,Carthage,3/31/19,3,39.214711,-81.846489,Juv,0,F,0,11.9,7.7,5.4,57.1,49.4,2.72,5.506072874,na
64-19-18,18,5/15/19,MD_CH,Perry,Pleasant,2/19/19,2,39.67739,-82.12275,Ad,3,M,na,17.4,13.4,6.7,88.3,74.9,13.13,17.53004005,na
84-19-19,19,5/17/19,MD,Washington,Waterford,2/14/19,2,39.577108,-81.665432,Juv,0,F,0,12,9.1,4.5,60.3,51.2,2.67,5.21484375,na
5/18/20,20,5/17/19,MD_CH,Athens,Dover,12/8/18,12,39.488333,-82.305278,Juv,0,M,na,15.8,11.5,6.5,71.3,59.8,3.86,6.454849498,na
58-19-21,21,5/21/19,MD_CH,Morgan,Meigsville,3/8/19,3,39.60709,-81.72208,Ad,na,M,na,14.5,13,6.3,76,63,6.67,10.58730159,na
30-18-22,22,5/21/19,MD_CH,Guernsey ,Monroe,12/24/18,12,40.16471,-81.51449,Ad,na,F,2,15.9,11,6,73.4,62.4,4.17,6.682692308,na
56-19-23,23,5/23/19,MD_CH,Monroe,Adams,2/21/19,2,39.7513,-81.0077,Ad,na,M,na,16.5,12.6,6.5,76,63.4,5.57,8.785488959,na
84-19-24,24,5/28/19,MD_MB,Washington,Marietta,2/27/19,2,39.442839,-81.432602,Ad,na,M,na,16,14.2,6.5,79.2,65,5.91,9.092307692,na
37-19-25,25,6/3/19,MD,Hocking,Good Hope,3/28/19,3,39.58895,-82.53991,Ad,na,M,na,16,12.5,6.4,79,66.5,5.74,8.631578947,na
71-19-26,26,6/7/19,MD,Ross,Paxton,2/15/19,2,39.20514,-83.24667,Ad,na,F,0,13.5,12,6.4,85.3,73.3,8.22,11.21418827,na
61-19-27,27,8/30/19,MD_RB_MB_VP,Noble,Jefferson,3/24/19,3,39.605725,-81.378674,Juv,0,M,na,15,10.5,6.9,79.9,69.4,5.9,8.501440922,na
82-18-28,28,9/22/19,MD_TW_JS,Vinton,Vinton,2/6/18,2,39.242978,-82.437606,Ad,6,F,na,13.6,10.8,6,79.2,68.4,7.46,10.90643275,na
5/19/29,29,9/23/19,MB,Athens,Troy,4/17/19,4,39.230874,-81.790612,Juv,0,M,na,15,10.5,6.2,67.5,57,3.41,5.98245614,na
30-19-30,30,9/23/19,MB,Guernsey ,Wills,3/22/19,3,40.02806,-81.46415,Juv,na,M,na,13.5,10,5.2,60.3,50.3,3.7,7.355864811,na
30-19-31,31,9/24/19,MB,Guernsey ,Liberty,3/24/19,3,40.10589,-81.56248,Ad,0,M,na,16.5,15.5,7.8,80.5,65,6.83,10.50769231,na
5/19/32,32,10/1/19,MB,Athens,York,9/23/19,9,39.40209,-82.167102,Ad,1,M,na,15.6,15.7,6.6,80,64.3,7.38,11.47744946,na
5/19/33,33,10/21/19,"MD, MB",Athens,Waterloo,9/27/19,9,39.34492,-82.24308,Ad,1,F,0,14.5,13,6.9,79.5,66.5,6.48,9.744360902,na
56-19-34,34,10/21/19,"MP, ML, RB",Monroe,Seneca,9/13/19,9,39.8581,-81.2362,Ad,7,F,na,16.5,11.4,7.6,76.7,65.3,7.78,11.91424196,na
37-19-35,35,10/21/19,"MK, EW",Hocking,Green,9/5/19,9,39.492006,-82.3295016,Ad,2,F,4,16.2,12.9,6.3,86.4,73.5,6.75,9.183673469,na
82-19-36,36,10/24/19,"RB, CH, JS",Vinton,Madison,10/18/19,10,39.272537,-82.386362,Ad,1,M,na,16.7,13.2,5.8,85,71.8,8.13,11.32311978,na
79-19-37,37,10/24/19,"RB, CH, JS",Tuscarawas,Washington,10/3/19,10,40.2416,-81.50233,Juv,X,F,0,14,10.3,4.6,68.2,57.9,2.29,3.955094991,na
56-19-38,38,10/29/19,"ML, MP",Monroe,Franklin,10/11/19,10,39.7724,-81.2884,Juv,0,M,na,12.2,8.6,5.2,55.5,46.9,1.95,4.157782516,na
