"","Damage","Year","Month","Targetspp","POINT_X","POINT_Y","PTX","PTY","Bear_abund","Landcover_code","Altitude","Human_population","Dist_to_forest","Dist_to_town","Livestock_killed","Numberdamageperplot","ShannonDivIndex","prop_arable","prop_orchards","prop_pasture","prop_ag_mosaic","prop_seminatural","prop_deciduous","prop_coniferous","prop_mixedforest","prop_grassland","prop_for_regen","Landcover_2","Prop_natural","Prop_ag","Prop_gras","Hunting","Prop_open","Prop_forest"
"1",1,"2012","10","bovine",503840,559354,503870,559440,34,"243",866,0,319.003136,1399.805363,1,1,1.278164,0,0,35.801,8.805,42.234,10.549,0,0,0,0,"240",42.234,8.805,35.801,1,35.801,10.549
"2",1,"2014","9","bovine",513946,564975,513946,565000,42,"243",748,0,122.284317,2662.933571,1,1,0.762419,0,0,2.688,0,35.539,61.774,0,0,0,0,"240",35.539,0,2.688,1,2.688,61.774
"3",1,"2012","10","bovine",514079,556360,514099,556427,34,"321",799,30,135.372455,1034.247232,1,1,1.382448,5.578,0,1.143,15.031,29.194,5.721,0,0,43.333,0,"231",29.194,20.609,44.476,1,44.476,5.721
"4",1,"2009","6","bovine",514792,546860,514859,546908,43,"211",807,98,589.569354,436.475433,1,1,1.448577,23.779,0,8.644,0,23.774,36.813,0,0,0,0,"210",23.774,23.779,8.644,1,8.644,36.813
"5",1,"2012","9","bovine",516028,558289,516092,558339,34,"231",969,14,105.743995,733.354632,1,1,1.428759,29.153,0,10.786,9.673,4.104,43.111,0,0,3.173,0,"231",4.104,38.826,13.959,1,13.959,43.111
"6",1,"2014","6","bovine",516803,537638,516839,537684,32,"231",596,0,91.12162,1747.831992,1,1,1.499146,12.46,0,23.293,0,11.516,44.072,0,0,0,1.87,"231",13.386,12.46,23.293,1,23.293,44.072
"7",1,"2012","8","bovine",516820,552569,516894,552588,34,"231",884,0,7.386115,1372.635459,2,51,1.346276,2.775,0,12.457,0,40.249,32.388,0,0,0,0,"231",40.249,2.775,12.457,1,12.457,32.388
"8",1,"2014","9","bovine",517207,565952,517211,566033,42,"321",1025,0,442.777146,2183.799701,2,2,0.910646,0,0,0,0,0,50.812,0,2.788,43.423,2.976,"231",2.976,0,43.423,1,43.423,53.6
"9",1,"2012","9","bovine",517840,558701,517856,558742,34,"321",950,0,45.791491,758.71702,1,1,1.415842,0,0,0,25.413,3.212,12.761,14.916,1.035,42.662,0,"231",3.212,25.413,42.662,1,42.662,28.712
"10",1,"2009","6","bovine",518797,553526,518892,553545,34,"242",943,45,487.262404,315.020966,1,1,1.06794,0,0,41.828,22.507,0,35.665,0,0,0,0,"240",0,22.507,41.828,1,41.828,35.665
"11",1,"2012","6","bovine",519504,553202,519562,553216,42,"242",943,26,801.49031,331.963633,1,1,1.526226,0,0,7.532,40.158,0,3.13,0.094,16.258,24.202,8.626,"240",8.626,40.158,31.734,1,31.734,19.482
"12",1,"2011","6","bovine",520209,548278,520275,548300,31,"231",922,0,363.408069,3133.331157,1,1,0.877413,0,0,64.342,3.347,0,28.612,0,3.699,0,0,"231",0,3.347,64.342,1,64.342,32.311
"13",1,"2012","7","bovine",520266,542415,520267,542422,31,"231",663,0,149.387592,1236.724602,3,3,1.065992,53.155,0,32.06,0,3.661,11.123,0,0,0,0,"231",3.661,53.155,32.06,1,32.06,11.123
"14",1,"2012","8","bovine",520270,542435,520322,542505,31,"231",676,0,149.710411,1257.024882,3,3,1.065992,53.155,0,32.06,0,3.661,11.123,0,0,0,0,"231",3.661,53.155,32.06,1,32.06,11.123
"15",1,"2012","9","bovine",520292,546374,520386,546451,31,"321",732,0,41.133608,3300.604297,1,1,1.057112,0,0,23.826,0,0,59.088,0,0,12.164,0,"231",0,0,35.99,1,35.99,59.088
