Damage,Year,Month,Targetspp,POINT_X,POINT_Y,Bear_abund,Landcover_code,Altitude,Human_population,Dist_to_forest,Dist_to_town,Livestock_killed,ShannonDivIndex,prop_arable,prop_orchards,prop_pasture,prop_ag_mosaic,prop_seminatural,prop_deciduous,prop_coniferous,prop_mixedforest,prop_grassland,prop_for_regen
0,2016,0,,489008.119,532777.5167,0,311,549,0,0,1558.018996,0,1.082821,0,0,25.222,0,9.427,59.423,0,0,0,4.175
0,2009,0,,491321.3692,542207.07,0,311,596,0,0,2281.633922,0,0.691837,0,0,20.219,0,1.668,75.708,0,0,2.405,0
0,2009,0,,491398.0464,538027.6307,26,311,506,54,0,387.809135,0,0.908148,0,0,42.722,0,0.166,50.565,0,0,0.26,0
0,2014,0,,491758.416,536946.0579,26,311,485,32,0,60.611269,0,1.554898,14.067,0,25.432,0,22.149,27.402,0,0,0,0
0,2012,0,,492628.4826,533068.9897,0,311,530,0,0,2076.312506,0,0.810196,4.699,0,70.076,0,2.001,23.224,0,0,0,0
0,2009,0,,493437.294,539014.5716,26,311,551,0,0,517.655047,1,1.580811,3.247,0,12.412,6.843,31.623,28.272,0,0,0,0
1,2014,7,alte,494273,538507,26,112,437,229,340.58052,0,1,1.580811,3.247,0,12.412,6.843,31.623,28.272,0,0,0,0
0,2012,0,,494410.5255,540449.1006,26,231,527,0,134.771576,908.949053,0,1.006796,0,0,18.433,0,6.221,64.772,0,0,10.519,0
0,2009,0,,494861.7551,537974.773,26,242,467,0,989.674031,230.567352,1,1.580811,3.247,0,12.412,6.843,31.623,28.272,0,0,0,0
1,2013,9,ovine,495456,538720,26,243,561,0,36.544816,591.196559,1,1.315596,0,0,36.734,14.869,34.712,13.078,0,0,0,0
0,2014,0,,495659.6489,525979.4966,0,243,394,0,346.241891,573.935632,0,1.317092,50.571,0,1.055,0,22.939,7.685,0,0,0,0
1,2012,8,ovine,496153,540155,26,231,582,0,53.486,1781.078881,1,0.906194,6.128,0,42.565,0,0.024,50.806,0,0,0.477,0
0,2009,0,,496196.2798,533478.9745,26,211,399,0,469.331573,997.680845,0,1.443436,30.841,0,33.096,0,1.693,15.692,0,0,1.093,0
0,2016,0,,496542.0841,534225.8628,26,321,508,0,787.962166,1699.403292,0,1.118837,48.277,0,0,0,27.972,0,0,0,21.714,0
0,2014,0,,496693.9802,541946.9293,26,311,609,0,0,2976.354657,0,0.958154,0,0,52.583,4.874,3.032,39.51,0,0,0,0
0,2014,0,,497098.8761,544959.3957,27,231,524,0,68.180401,933.058937,0,1.332619,5.219,0,23.229,0,33.159,35.688,0,0,0,0
1,2014,7,alte,497128,537122,26,112,445,137,331.90784,0,1,1.658574,13.493,0,6.051,0.03,13.821,28.897,0,0,27.9,0
0,2016,0,,497748.1874,543178.3196,0,311,531,0,0,2452.039865,0,0.581576,0,0,12.371,0,5.567,82.061,0,0,0,0
0,2012,0,,497979.465,528051.4563,30,511,371,0,1396.628675,587.819174,0,1.426352,50.152,0,15.012,0,10.062,1.925,0,0,0,0
0,2012,0,,498034.7103,529164.0353,26,112,376,330,708.608627,0,0,1.426352,50.152,0,15.012,0,10.062,1.925,0,0,0,0
0,2014,0,,498865.7131,545755.6173,27,243,516,0,97.005306,491.307799,0,1.808242,8.987,0,31.547,0,3.587,6.321,0,16.597,0,0
0,2016,0,,499069.8958,538944.5886,26,311,533,0,0,1037.988333,2,1.237411,11.483,0,18.092,2.008,10.514,56.967,0,0,0,0
1,2013,9,ovine,499536,537286,26,243,455,0,359.652407,738.549358,1,1.407205,34.002,0,7.294,0,36.09,14.851,0,0,0,0
0,2009,0,,499591.8866,555346.6405,27,243,453,0,105.469657,0,0,1.37683,0,0,25.133,0,25.324,39.95,0,3.84,0,5.021
0,2012,0,,499844.4966,532561.7479,26,222,476,0,417.859051,1566.698482,1,1.737145,25.565,0,22.496,9.768,15.541,12.408,0,0,0,0
0,2012,0,,499941.9182,532039.3467,26,211,434,0,917.491078,1048.374283,1,1.737145,25.565,0,22.496,9.768,15.541,12.408,0,0,0,0
1,2013,9,ovine,499956,539465,26,243,599,0,136.464349,864.924357,2,1.237411,11.483,0,18.092,2.008,10.514,56.967,0,0,0,0
1,2013,9,ovine,500187,539441,26,243,599,0,215.916728,1043.638999,2,1.237411,11.483,0,18.092,2.008,10.514,56.967,0,0,0,0
0,2009,0,,500224.6463,532106.4588,26,211,473,0,767.676927,1023.814178,1,1.737145,25.565,0,22.496,9.768,15.541,12.408,0,0,0,0
0,2009,0,,500336.1099,543444.1281,26,311,557,0,0,2400.885569,0,1.207307,1.893,0,18.922,0,5.168,60.688,0,0,0,6.563
0,2009,0,,500476.3262,531226.0387,26,211,387,332,1639.078662,146.274135,0,1.179258,55.14,0,0.708,0,23.686,0,0,0,0,0
0,2014,0,,500551.1778,535208.3932,26,231,421,32,381.342199,637.301475,0,1.349537,35.912,0,27.654,0,17.452,18.882,0,0,0,0
1,2009,5,ovine,500765,532635,26,242,458,0,414.538542,662.967727,1,1.737145,25.565,0,22.496,9.768,15.541,12.408,0,0,0,0
0,2014,0,,501025.359,560058.084,0,311,497,0,0,1671.969137,0,0.717549,0,0,2.514,0,29.801,67.686,0,0,0,0
0,2012,0,,501027.3574,539258.9401,26,231,526,0,164.074078,745.569042,0,1.676687,24.386,0,23.175,3.996,22.452,12.045,0,0,0,0
0,2014,0,,501203.3022,557899.5999,27,311,624,0,0,1162.005128,0,1.175661,0,0,45.752,4.773,17.299,32.116,0,0,0,0
